0:0:0:0:0:0:0:1 - - [22/May/2021:06:58:41 +0900] "GET /MentoringProject/css/images/ad1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/May/2021:06:58:41 +0900] "GET /MentoringProject/css/images/choo1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:58:41 +0900] "GET /MentoringProject/css/images/choo2.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:58:41 +0900] "GET /MentoringProject/css/images/choo3.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:58:41 +0900] "GET /MentoringProject/css/images/choo4.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:58:41 +0900] "GET /MentoringProject/css/images/choo5.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:13 +0900] "GET /MentoringProject/userLoginPage.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "POST /MentoringProject/userLoginPage.do HTTP/1.1" 200 8237
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/card1.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/card3.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/card4.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/choo1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/card2.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/ad1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/choo2.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/choo3.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/choo4.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/home2.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:19 +0900] "GET /MentoringProject/css/images/choo5.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:24 +0900] "GET /MentoringProject/userBeMentorPage.jsp HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:35 +0900] "GET /MentoringProject/jusoPopup.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:50 +0900] "POST /MentoringProject/jusoPopup.jsp HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:52 +0900] "POST /MentoringProject/mentorProfile.do HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [22/May/2021:06:59:58 +0900] "POST /MentoringProject/mentorProfileMajor.do HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:23 +0900] "POST /MentoringProject/mentorProfileIntroduce.do HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:27 +0900] "POST /MentoringProject/userCheckUpdate.do HTTP/1.1" 500 1520
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/home.do HTTP/1.1" 200 9046
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/upload/D8.png HTTP/1.1" 200 333176
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/card1.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/card2.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/card3.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/card4.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/choo1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/ad1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/choo2.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/choo3.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/choo4.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/home2.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/choo5.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:38 +0900] "GET /MentoringProject/css/images/home3.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:00:40 +0900] "GET /MentoringProject/userLoginPage.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [22/May/2021:07:02:40 +0900] "POST /MentoringProject/userLoginPage.do HTTP/1.1" 200 8873
0:0:0:0:0:0:0:1 - - [22/May/2021:07:02:41 +0900] "GET /MentoringProject/upload/D8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2021:07:02:41 +0900] "GET /MentoringProject/css/images/card1.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:02:41 +0900] "GET /MentoringProject/css/images/card2.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [22/May/2021:07:02:41 +0900] "GET /MentoringProject/css/images/card3.jpg HTTP/1.1" 404 856
